TICK	STATUS	TID	PRIORITY
[0]	CREATED   	1	-1
[0]	CREATED   	2	-1
[0]	STOPPED   	0	-1
[0]	SCHEDULED 	1	-1
[10]	FINISHED  	1	-1
[10]	SCHEDULED 	0	-1
[10]	STOPPED   	0	-1
[10]	SCHEDULED 	2	-1
[30]	FINISHED  	2	-1
[30]	SCHEDULED 	0	-1
[30]	CREATED   	3	-1
[30]	CREATED   	4	-1
[30]	CREATED   	5	-1
[30]	STOPPED   	0	-1
[30]	SCHEDULED 	4	-1
[40]	FINISHED  	4	-1
[40]	SCHEDULED 	0	-1
[40]	STOPPED   	0	-1
[40]	SCHEDULED 	5	-1
[40]	FINISHED  	5	-1
[40]	SCHEDULED 	0	-1
[40]	STOPPED   	0	-1
[40]	SCHEDULED 	3	-1
[60]	FINISHED  	3	-1
[60]	SCHEDULED 	0	-1
